TABELA DE PREÇOS 03/03/2026;;;;;;;;
ABRIDORES E CHAVEIROS;;;;;;;;
Código;Categoria;Descrição do Serviço;Cores;Peso;Qtde;Tam;Prazo;Preço R$
GIFT2411;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;100;10;60 x 12;2;R$ 32,50
GIFT2412;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;250;25;60 x 12;2;R$ 73,50
GIFT2413;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;500;50;60 x 12;2;R$ 139,50
GIFT2414;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1000;100;60 x 12;2;R$ 267,99
GIFT2395;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;100;10;60 x 12;2;R$ 32,50
GIFT2396;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;250;25;60 x 12;2;R$ 73,50
GIFT2397;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;500;50;60 x 12;2;R$ 139,50
GIFT2398;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1000;100;60 x 12;2;R$ 267,99
GIFT2399;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;100;10;60 x 12;2;R$ 32,50
GIFT2400;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;250;25;60 x 12;2;R$ 73,50
GIFT2401;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;500;50;60 x 12;2;R$ 139,50
GIFT2402;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1000;100;60 x 12;2;R$ 267,99
GIFT2403;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;100;10;60 x 12;2;R$ 32,50
GIFT2404;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;250;25;60 x 12;2;R$ 73,50
GIFT2405;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;500;50;60 x 12;2;R$ 139,50
GIFT2406;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1000;100;60 x 12;2;R$ 267,99
GIFT1275;ABRIDORES E CHAVEIROS;ABRIDORES E CHAVEIROS - GRAVAÇÃO A LASER - 10g;1X0;1400;100;43 x 7;2;R$ 173,50
